order_id,order_date,customer_id,segment,region,state,category,sub_category,sales,quantity,discount,profit,profit_margin,calculated_cost_basis
CA-2025-100000,2024-04-12,CS-1029,Consumer,East,Odisha,Furniture,Chairs,3043.36,9,0.0,311.42,10.232769044740024,2731.94
CA-2025-100001,2025-03-11,CS-1127,Corporate,South,Telangana,Office Supplies,Art,3220.74,7,0.0,673.49,20.911032868222833,2547.25
CA-2025-100002,2024-09-27,CS-1338,Corporate,West,Gujarat,Technology,Phones,744.51,2,0.0,169.28,22.737102255174545,575.23
CA-2025-100003,2024-04-16,CS-1010,Consumer,West,Gujarat,Office Supplies,Binders,127.17,5,0.0,10.37,8.154438940001572,116.8
CA-2025-100004,2024-03-12,CS-1106,Consumer,East,West Bengal,Office Supplies,Fasteners,479.34,2,0.0,43.06,8.983185213001212,436.28
CA-2025-100005,2025-12-01,CS-1167,Consumer,East,Jharkhand,Office Supplies,Fasteners,2387.43,7,0.0,301.94,12.647072374896856,2085.49
CA-2025-100006,2024-01-21,CS-1466,Consumer,West,Goa,Office Supplies,Paper,1479.72,9,0.0,223.16,15.081231584353796,1256.56
CA-2025-100007,2025-09-06,CS-1257,Consumer,East,Bihar,Technology,Copiers,763.04,4,0.0,119.76,15.695114279723214,643.28
CA-2025-100008,2024-05-01,CS-1295,Consumer,South,Kerala,Office Supplies,Fasteners,968.09,3,0.2,123.08,12.713693974733753,845.01
CA-2025-100009,2025-04-11,CS-1277,Corporate,North,Punjab,Office Supplies,Fasteners,198.28,6,0.0,33.16,16.723824894089166,165.12
CA-2025-100010,2024-08-02,CS-1065,Corporate,East,Jharkhand,Office Supplies,Art,1097.75,8,0.5,216.49,19.721248007287635,881.26
CA-2025-100011,2024-11-26,CS-1271,Consumer,West,Rajasthan,Technology,Accessories,1616.81,8,0.5,307.23,19.002232791731867,1309.58
CA-2025-100012,2025-04-03,CS-1388,Consumer,North,UP,Office Supplies,Fasteners,3205.86,8,0.0,179.66,5.604112469041069,3026.2000000000003
CA-2025-100013,2024-03-28,CS-1188,Corporate,South,Kerala,Furniture,Tables,345.41,5,0.0,-96.02,-27.798847746156742,441.43
CA-2025-100014,2025-01-07,CS-1317,Home Office,North,Delhi,Furniture,Chairs,2543.9,6,0.0,489.77,19.252722198199614,2054.13
CA-2025-100015,2024-04-09,CS-1404,Corporate,West,Maharashtra,Technology,Phones,95.73,2,0.0,8.63,9.01493784602528,87.10000000000001
CA-2025-100016,2025-10-25,CS-1138,Corporate,North,Punjab,Technology,Accessories,2499.08,6,0.1,426.65,17.0722825999968,2072.43
CA-2025-100017,2024-05-10,CS-1343,Consumer,West,Goa,Furniture,Furnishings,289.97,5,0.5,20.93,7.217988067731144,269.04
CA-2025-100018,2025-10-23,CS-1105,Consumer,East,Odisha,Technology,Phones,199.4,3,0.0,36.49,18.299899699097292,162.91
